"timestamp_utc","stress_phase","stress_level","target_vus","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T12:08:10.3986100Z","transition","transition_1_to_4","4","backend","11520","True","","43.465","53.723","13"
"2026-08-17T12:08:10.3986100Z","transition","transition_1_to_4","4","k6","7724","True","","15.762","51.387","7"
"2026-08-17T12:08:13.6158251Z","transition","transition_1_to_4","4","backend","11520","True","0.081","45.281","55.719","13"
"2026-08-17T12:08:13.6158251Z","transition","transition_1_to_4","4","k6","7724","True","1.012","53.785","81.516","19"
"2026-08-17T12:08:15.6914655Z","transition","transition_1_to_4","4","backend","11520","True","0","45.285","55.719","13"
"2026-08-17T12:08:15.6914655Z","transition","transition_1_to_4","4","k6","7724","True","0","54.379","82.156","19"
"2026-08-17T12:08:17.7308213Z","transition","transition_1_to_4","4","backend","11520","True","0.064","45.605","55.961","13"
"2026-08-17T12:08:17.7308213Z","transition","transition_1_to_4","4","k6","7724","True","0","54.695","82.828","19"
"2026-08-17T12:08:19.7742146Z","transition","transition_1_to_4","4","backend","11520","True","0","45.605","55.961","13"
"2026-08-17T12:08:19.7742146Z","transition","transition_1_to_4","4","k6","7724","True","0","54.863","83.473","19"
"2026-08-17T12:08:21.8288932Z","transition","transition_1_to_4","4","backend","11520","True","0","45.754","55.93","12"
"2026-08-17T12:08:21.8288932Z","transition","transition_1_to_4","4","k6","7724","True","0","55.086","84.16","19"
"2026-08-17T12:08:23.8856611Z","transition","transition_1_to_4","4","backend","11520","True","0.253","46.152","56.445","12"
"2026-08-17T12:08:23.8856611Z","transition","transition_1_to_4","4","k6","7724","True","0","55.277","84.832","19"
"2026-08-17T12:08:25.9536585Z","transition","transition_1_to_4","4","backend","11520","True","0","46.289","56.445","12"
"2026-08-17T12:08:25.9536585Z","transition","transition_1_to_4","4","k6","7724","True","0","55.566","85.523","19"
"2026-08-17T12:08:28.0041214Z","transition","transition_1_to_4","4","backend","11520","True","0","46.289","56.445","12"
"2026-08-17T12:08:28.0041214Z","transition","transition_1_to_4","4","k6","7724","True","0","56.035","86.172","19"
"2026-08-17T12:08:30.0446598Z","transition","transition_1_to_4","4","backend","11520","True","0","46.598","56.703","12"
"2026-08-17T12:08:30.0446598Z","transition","transition_1_to_4","4","k6","7724","True","0","56.613","86.914","19"
"2026-08-17T12:08:32.0977439Z","transition","transition_1_to_4","4","backend","11520","True","0.063","46.715","56.703","12"
"2026-08-17T12:08:32.0977439Z","transition","transition_1_to_4","4","k6","7724","True","0.127","57.203","87.91","19"
"2026-08-17T12:08:34.1515370Z","transition","transition_1_to_4","4","backend","11520","True","0.063","46.719","56.703","12"
"2026-08-17T12:08:34.1515370Z","transition","transition_1_to_4","4","k6","7724","True","0","57.695","88.637","19"
"2026-08-17T12:08:36.2509339Z","transition","transition_1_to_4","4","backend","11520","True","0.124","46.914","56.703","12"
"2026-08-17T12:08:36.2509339Z","transition","transition_1_to_4","4","k6","7724","True","0.434","58.223","89.203","19"
"2026-08-17T12:08:38.3087744Z","transition","transition_1_to_4","4","backend","11520","True","0.127","46.914","56.703","12"
"2026-08-17T12:08:38.3087744Z","transition","transition_1_to_4","4","k6","7724","True","0.063","58.301","89.234","19"
"2026-08-17T12:08:40.3514846Z","plateau","baseline_4","4","backend","11520","True","0","46.914","56.703","12"
