"timestamp_utc","phase","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T05:25:35.1935677Z","ramp_up","11.633","74.794","11825130.546","71188.099"
"2026-08-17T05:25:38.0826079Z","ramp_up","5.184","74.741","17059021.999","897.061"
"2026-08-17T05:25:40.1564112Z","ramp_up","14.881","74.633","18885566.427","1102658.249"
"2026-08-17T05:25:42.2323618Z","ramp_up","9.439","74.53","54595196.172","410152.935"
"2026-08-17T05:25:44.3197675Z","ramp_up","13.308","74.53","35501854.539","3323.901"
"2026-08-17T05:25:46.3900714Z","ramp_up","6.008","74.474","3128163.111","2026821.259"
"2026-08-17T05:25:48.4763475Z","ramp_up","9.054","74.371","19137.363","860.67"
"2026-08-17T05:25:50.5468571Z","ramp_up","7.594","74.374","79086.582","93008.451"
"2026-08-17T05:25:52.5850388Z","ramp_up","9.265","74.325","21973.67","1052.972"
"2026-08-17T05:25:54.6167132Z","ramp_up","6.472","74.255","577147.449","7250.661"
"2026-08-17T05:25:56.6721634Z","ramp_up","8.357","74.238","27474.34","177513.97"
"2026-08-17T05:25:58.7754107Z","ramp_up","31.433","74.36","268656.773","1898519.7"
"2026-08-17T05:26:00.8400744Z","ramp_up","16.902","74.421","352946.599","1709.466"
"2026-08-17T05:26:02.8827044Z","ramp_up","10.473","74.401","561263.63","11496.513"
"2026-08-17T05:26:04.9555812Z","ramp_up","13.002","74.411","404046.282","26672.77"
"2026-08-17T05:26:07.0053196Z","ramp_up","9.99","74.407","120215.612","13410.886"
"2026-08-17T05:26:09.1066587Z","ramp_up","17.222","74.407","338335.946","190129.534"
"2026-08-17T05:26:11.1433081Z","ramp_up","16.627","74.415","209575.892","926326.781"
"2026-08-17T05:26:13.1746002Z","ramp_up","11.312","74.397","438146.676","151319.116"
"2026-08-17T05:26:15.2238208Z","ramp_up","16.012","74.549","402598.888","314468.197"
"2026-08-17T05:26:17.2489190Z","ramp_up","6.102","74.565","175050.111","750.379"
"2026-08-17T05:26:19.3069895Z","ramp_up","18.259","74.582","25704.423","1121.222"
"2026-08-17T05:26:21.3476458Z","ramp_up","7.218","74.53","727351.645","779.493"
"2026-08-17T05:26:23.3747869Z","ramp_up","15.217","74.514","395499.865","22657.533"
"2026-08-17T05:26:25.4150864Z","ramp_up","10.011","74.478","184752.492","4762.757"
"2026-08-17T05:26:27.4535635Z","ramp_up","18.599","74.482","170996.062","17452.752"
"2026-08-17T05:26:29.5331136Z","ramp_up","9.943","74.428","85196.968","794.586"
"2026-08-17T05:26:31.5870579Z","ramp_up","11.187","74.414","466191.334","613.01"
"2026-08-17T05:26:33.6064564Z","ramp_up","10.197","74.419","22700.592","1218.777"
"2026-08-17T05:26:35.6489893Z","steady_4vu","11.869","74.403","2083438.713","864.032"
"2026-08-17T05:26:37.7035764Z","steady_4vu","11.296","74.382","367092.286","1577871.644"
"2026-08-17T05:26:39.7972251Z","steady_4vu","14.801","74.412","73649.328","897847.919"
"2026-08-17T05:26:41.8264026Z","steady_4vu","28.551","74.519","584520.644","6858.77"
"2026-08-17T05:26:43.8619522Z","steady_4vu","16.529","74.503","391082.216","68077.562"
"2026-08-17T05:26:45.9058221Z","steady_4vu","12.062","74.513","142887.094","11563.03"
"2026-08-17T05:26:47.9349633Z","steady_4vu","11.647","74.512","502063.88","1442.987"
"2026-08-17T05:26:50.0281466Z","steady_4vu","12.099","74.456","84614.155","2682965.592"
"2026-08-17T05:26:52.0950155Z","steady_4vu","12.569","74.391","441627.033","355.803"
"2026-08-17T05:26:54.1540086Z","steady_4vu","11.236","74.371","306134.883","622.546"
"2026-08-17T05:26:56.1976902Z","steady_4vu","8.378","74.384","338888.268","743.631"
"2026-08-17T05:26:58.2566131Z","steady_4vu","9.874","74.376","38702.058","52099.622"
"2026-08-17T05:27:00.3234944Z","steady_4vu","40.843","74.376","482554.381","828.605"
"2026-08-17T05:27:02.4080614Z","steady_4vu","8.844","74.376","202260.894","4835.063"
"2026-08-17T05:27:04.4666016Z","steady_4vu","8.312","74.375","310493.901","904.663"
"2026-08-17T05:27:06.5205054Z","steady_4vu","13.433","74.395","459608.999","5738.63"
"2026-08-17T05:27:08.5824597Z","steady_4vu","7.561","74.381","507009.405","3042.056"
"2026-08-17T05:27:10.6749700Z","steady_4vu","8.072","74.384","1921181.112","360.245"
"2026-08-17T05:27:12.7450837Z","steady_4vu","7.992","74.421","101309.023","501.598"
"2026-08-17T05:27:14.8056332Z","steady_4vu","8.599","74.416","124519.687","13896.021"
"2026-08-17T05:27:16.8828332Z","steady_4vu","8.065","74.42","400743.29","625.568"
"2026-08-17T05:27:18.9456843Z","steady_4vu","7.485","74.436","93184.872","1186.492"
"2026-08-17T05:27:21.0170635Z","steady_4vu","16.883","74.407","156068.263","842.505"
"2026-08-17T05:27:23.0719225Z","steady_4vu","8.5","74.387","306676.236","967.119"
"2026-08-17T05:27:25.1246053Z","steady_4vu","10.193","74.377","662563.559","10172.962"
"2026-08-17T05:27:27.1878785Z","steady_4vu","12.285","74.383","177412.199","738.951"
"2026-08-17T05:27:29.2418471Z","steady_4vu","7.583","74.375","47641.867","779.051"
"2026-08-17T05:27:31.3188702Z","steady_4vu","11.267","74.4","572995.384","26202.774"
"2026-08-17T05:27:33.3648078Z","steady_4vu","10.205","74.392","635502.836","569.804"
"2026-08-17T05:27:35.3971304Z","steady_4vu","12.089","74.385","263262.39","722.236"
"2026-08-17T05:27:37.4531014Z","steady_4vu","11.576","74.505","408007.302","2331.272"
"2026-08-17T05:27:39.4955444Z","steady_4vu","16.901","74.737","722280.501","2109445.634"
"2026-08-17T05:27:41.5854978Z","steady_4vu","11.914","74.768","90772.14","1156.365"
"2026-08-17T05:27:43.6542228Z","steady_4vu","13.542","74.772","485701.202","2733.255"
"2026-08-17T05:27:45.7115168Z","steady_4vu","17.855","74.741","11211.863","64435.363"
"2026-08-17T05:27:47.7562065Z","steady_4vu","13.833","74.774","1010286.554","678.692"
"2026-08-17T05:27:49.8094588Z","steady_4vu","10.276","74.776","157057.164","3060.574"
"2026-08-17T05:27:51.8867315Z","steady_4vu","11.957","74.789","2151113.305","1863106.765"
"2026-08-17T05:27:53.9474445Z","steady_4vu","11.003","74.732","261063.367","125904.215"
"2026-08-17T05:27:55.9926636Z","steady_4vu","10.466","74.823","445293.194","361.22"
"2026-08-17T05:27:58.0223490Z","steady_4vu","10.98","74.82","395454.996","7759.424"
"2026-08-17T05:28:00.0572327Z","steady_4vu","12.433","74.652","1222142.183","1634.875"
"2026-08-17T05:28:02.1120578Z","steady_4vu","14.727","74.659","1843830.317","26354.598"
"2026-08-17T05:28:04.1595676Z","steady_4vu","10.968","74.599","436768.885","293.241"
"2026-08-17T05:28:06.2046502Z","steady_4vu","9.774","74.54","877825.108","12531.936"
"2026-08-17T05:28:08.2480864Z","steady_4vu","11.837","74.539","791325.632","704.622"
"2026-08-17T05:28:10.2758228Z","steady_4vu","11.422","74.599","208800.931","853.334"
"2026-08-17T05:28:12.3532594Z","steady_4vu","18.079","74.596","514272.533","2667.397"
"2026-08-17T05:28:14.4040741Z","steady_4vu","26.364","74.605","1261058.96","2065582.911"
"2026-08-17T05:28:16.4463330Z","steady_4vu","12.029","74.515","846763.748","417.905"
"2026-08-17T05:28:18.4832147Z","steady_4vu","13.977","74.549","1531866.976","3048.85"
"2026-08-17T05:28:20.5041005Z","steady_4vu","9.045","74.496","97536.34","1952.632"
"2026-08-17T05:28:22.5899581Z","steady_4vu","17.24","74.546","447691.876","2434681.068"
"2026-08-17T05:28:24.6333544Z","steady_4vu","8.502","74.479","168796.55","360.464"
"2026-08-17T05:28:26.6676971Z","steady_4vu","9.145","74.522","912105.793","29712.152"
"2026-08-17T05:28:28.6974107Z","steady_4vu","11.542","74.528","140157.657","432.02"
"2026-08-17T05:28:30.7333995Z","steady_4vu","17.132","74.517","3491451.362","629.696"
"2026-08-17T05:28:32.8028585Z","steady_4vu","9.242","74.497","577381.54","11428.465"
"2026-08-17T05:28:34.8488823Z","steady_4vu","13.013","74.425","466311.439","7821.571"
"2026-08-17T05:28:36.8953270Z","steady_4vu","8.808","74.456","314821.583","417.491"
"2026-08-17T05:28:38.9379795Z","steady_4vu","18.813","74.436","277778.549","419.548"
"2026-08-17T05:28:40.9760802Z","steady_4vu","8.953","74.407","1443145.678","5475.709"
"2026-08-17T05:28:43.0462954Z","steady_4vu","11.48","74.566","351378.445","361.046"
