metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1786976409,1.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,spike_phase=warmup_4&target_vus=4&test_phase=official_spike&step=register,
http_req_duration,1786976409,551.030500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,spike_phase=warmup_4&test_phase=official_spike&step=register&target_vus=4,
http_req_blocked,1786976409,17.887500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_connecting,1786976409,1.909100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=register,
http_req_tls_handshaking,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_sending,1786976409,0.661000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,step=register&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_waiting,1786976409,549.669800,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&test_phase=official_spike&spike_phase=warmup_4,
http_req_receiving,1786976409,0.699700,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&spike_phase=warmup_4&target_vus=4,
http_req_failed,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&target_vus=4&spike_phase=warmup_4,
latency_register_ms,1786976409,551.030500,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976409,551.030500,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
spike_warmup_4_http_requests,1786976409,1.000000,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
spike_warmup_4_http_failure_rate,1786976409,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_latency_register_ms,1786976409,551.030500,,,,,,,,,spike,,,,,,target_vus=4&step=register&spike_phase=warmup_4&test_phase=official_spike,
spike_warmup_4_requests_register,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register status is 200,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register message is correct,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register user id is positive,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_reqs,1786976409,1.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_duration,1786976409,559.753500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&test_phase=official_spike&spike_phase=warmup_4,
http_req_blocked,1786976409,17.887500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&target_vus=4&spike_phase=warmup_4,
http_req_connecting,1786976409,1.909100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&spike_phase=warmup_4&target_vus=4,
http_req_tls_handshaking,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&test_phase=official_spike&spike_phase=warmup_4,
http_req_sending,1786976409,0.661000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&spike_phase=warmup_4&test_phase=official_spike,
http_req_waiting,1786976409,558.232300,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
http_req_receiving,1786976409,0.860200,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&spike_phase=warmup_4&target_vus=4,
http_req_failed,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&spike_phase=warmup_4&target_vus=4&step=register,
latency_register_ms,1786976409,559.753500,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976409,559.753500,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976409,1.000000,,,,,,,,,spike,,,,,,step=register&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
spike_warmup_4_http_failure_rate,1786976409,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_latency_register_ms,1786976409,559.753500,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_requests_register,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register status is 200,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
checks,1786976409,1.000000,register message is correct,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register user id is positive,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_reqs,1786976409,1.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&test_phase=official_spike&step=register&spike_phase=warmup_4,
http_req_duration,1786976409,569.897100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&spike_phase=warmup_4&target_vus=4,
http_req_blocked,1786976409,18.548500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,step=register&test_phase=official_spike&target_vus=4&spike_phase=warmup_4,
http_req_connecting,1786976409,1.909100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=register,
http_req_tls_handshaking,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,step=register&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_sending,1786976409,0.661000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&target_vus=4&spike_phase=warmup_4,
http_req_waiting,1786976409,569.236100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=register,
http_req_receiving,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&spike_phase=warmup_4&test_phase=official_spike,
http_req_failed,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
latency_register_ms,1786976409,569.897100,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976409,569.897100,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_failure_rate,1786976409,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_latency_register_ms,1786976409,569.897100,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_requests_register,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register status is 200,,,,,,,,spike,,,,,,target_vus=4&step=register&spike_phase=warmup_4&test_phase=official_spike,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register message is correct,,,,,,,,spike,,,,,,step=register&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
checks,1786976409,1.000000,register user id is positive,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_reqs,1786976409,1.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_duration,1786976409,578.875300,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&step=register&target_vus=4&spike_phase=warmup_4,
http_req_blocked,1786976409,17.887500,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_connecting,1786976409,1.909100,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=register,
http_req_tls_handshaking,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_sending,1786976409,0.661000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&step=register&spike_phase=warmup_4&test_phase=official_spike,
http_req_waiting,1786976409,577.517600,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
http_req_receiving,1786976409,0.696700,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,target_vus=4&spike_phase=warmup_4&test_phase=official_spike&step=register,
http_req_failed,1786976409,0.000000,,,,true,,POST,http://localhost:3000/api/register,HTTP/1.1,spike,,200,,,http://localhost:3000/api/register,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=register,
latency_register_ms,1786976409,578.875300,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976409,578.875300,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976409,1.000000,,,,,,,,,spike,,,,,,step=register&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
spike_warmup_4_http_failure_rate,1786976409,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_latency_register_ms,1786976409,578.875300,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_requests_register,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register status is 200,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=register,
checks,1786976409,1.000000,register message is correct,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
checks,1786976409,1.000000,register user id is positive,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
spike_warmup_4_checks,1786976409,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=register&spike_phase=warmup_4,
vus,1786976409,4.000000,,,,,,,,,,,,,,,,
vus_max,1786976409,32.000000,,,,,,,,,,,,,,,,
http_reqs,1786976410,1.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,target_vus=4&step=login&spike_phase=warmup_4&test_phase=official_spike,
http_req_duration,1786976410,29.990800,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&spike_phase=warmup_4&target_vus=4&step=login,
http_req_blocked,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_connecting,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,step=login&target_vus=4&spike_phase=warmup_4&test_phase=official_spike,
http_req_tls_handshaking,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_sending,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&spike_phase=warmup_4&step=login,
http_req_waiting,1786976410,29.990800,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_req_receiving,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,target_vus=4&step=login&spike_phase=warmup_4&test_phase=official_spike,
http_req_failed,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
latency_login_ms,1786976410,29.990800,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_duration_ms,1786976410,29.990800,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_requests,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_http_failure_rate,1786976410,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_latency_login_ms,1786976410,29.990800,,,,,,,,,spike,,,,,,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
spike_warmup_4_requests_login,1786976410,1.000000,,,,,,,,,spike,,,,,,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
checks,1786976410,1.000000,login status is 200,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
checks,1786976410,1.000000,login token is present,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
checks,1786976410,1.000000,login email matches registration,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
checks,1786976410,1.000000,login user id matches registration,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_reqs,1786976410,1.000000,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,step=read_profile&test_phase=official_spike&target_vus=4&spike_phase=warmup_4,
http_req_duration,1786976410,5.911200,,,,true,,GET,http://localhost:3000/api/users/me,HTTP/1.1,spike,,200,,,http://localhost:3000/api/users/me,test_phase=official_spike&step=read_profile&spike_phase=warmup_4&target_vus=4,
