"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:22:07.6495063Z","backend","15848","","52.324","60.816","13"
"2026-08-17T03:22:07.6495063Z","k6","26204","","12.695","49.105","6"
"2026-08-17T03:22:08.7157731Z","backend","15848","0","52.387","60.816","13"
"2026-08-17T03:22:08.7157731Z","k6","26204","0.488","30.332","57.348","12"
"2026-08-17T03:22:09.7638022Z","backend","15848","0","52.457","60.816","13"
"2026-08-17T03:22:09.7638022Z","k6","26204","0","30.887","57.738","12"
"2026-08-17T03:22:10.7872359Z","backend","15848","0","52.457","60.816","13"
"2026-08-17T03:22:10.7872359Z","k6","26204","0.382","30.984","57.754","12"
"2026-08-17T03:22:11.8064479Z","backend","15848","0","52.457","60.816","13"
"2026-08-17T03:22:11.8064479Z","k6","26204","0","31.09","58.082","12"
"2026-08-17T03:22:12.8187089Z","backend","15848","0","52.457","60.816","13"
"2026-08-17T03:22:12.8187089Z","k6","26204","0","31.297","58.207","12"
"2026-08-17T03:22:13.8325339Z","backend","15848","0.257","52.629","60.816","13"
"2026-08-17T03:22:13.8325339Z","k6","26204","0.128","31.582","58.473","12"
"2026-08-17T03:22:14.8443722Z","backend","15848","0","52.629","60.816","13"
"2026-08-17T03:22:14.8443722Z","k6","26204","0","31.812","58.738","12"
"2026-08-17T03:22:15.8629216Z","backend","15848","0","52.629","60.816","13"
"2026-08-17T03:22:15.8629216Z","k6","26204","0.256","31.992","58.91","13"
"2026-08-17T03:22:16.9131408Z","backend","15848","0","52.691","60.816","13"
"2026-08-17T03:22:16.9131408Z","k6","26204","0","32.02","58.91","13"
"2026-08-17T03:22:17.9266737Z","backend","15848","0","52.691","60.816","13"
"2026-08-17T03:22:17.9266737Z","k6","26204","0","32.109","59.238","13"
"2026-08-17T03:22:18.9429854Z","backend","15848","0","52.691","60.816","13"
"2026-08-17T03:22:18.9429854Z","k6","26204","0","32.121","59.246","13"
"2026-08-17T03:22:19.9590220Z","backend","15848","0","52.691","60.816","13"
"2026-08-17T03:22:19.9590220Z","k6","26204","0","32.141","59.246","13"
"2026-08-17T03:22:20.9872506Z","backend","15848","0","52.691","60.816","13"
"2026-08-17T03:22:20.9872506Z","k6","26204","0.507","32.273","59.246","13"
"2026-08-17T03:22:22.0172848Z","backend","15848","0.126","52.812","60.816","13"
"2026-08-17T03:22:22.0172848Z","k6","26204","0","32.277","59.246","13"
"2026-08-17T03:22:23.0475343Z","backend","15848","0","52.812","60.816","13"
"2026-08-17T03:22:23.0475343Z","k6","26204","0","32.277","59.246","13"
"2026-08-17T03:22:24.0775548Z","backend","15848","0.126","53.293","61.594","13"
"2026-08-17T03:22:24.0775548Z","k6","26204","0.126","32.293","59.254","13"
"2026-08-17T03:22:25.1088267Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:25.1088267Z","k6","26204","0","32.293","59.254","13"
"2026-08-17T03:22:26.1376026Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:26.1376026Z","k6","26204","0","32.297","59.254","13"
"2026-08-17T03:22:27.1685462Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:27.1685462Z","k6","26204","0","32.297","59.254","13"
"2026-08-17T03:22:28.2021080Z","backend","15848","0.252","53.293","61.594","13"
"2026-08-17T03:22:28.2021080Z","k6","26204","0.126","32.312","59.254","13"
"2026-08-17T03:22:29.2326190Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:29.2326190Z","k6","26204","0","32.34","59.254","13"
"2026-08-17T03:22:30.2616669Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:30.2616669Z","k6","26204","0","32.34","59.254","13"
"2026-08-17T03:22:31.2949077Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:31.2949077Z","k6","26204","0","32.34","59.254","13"
"2026-08-17T03:22:32.3275051Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:32.3275051Z","k6","26204","0","32.352","59.254","13"
"2026-08-17T03:22:33.3669945Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:33.3669945Z","k6","26204","0","32.352","59.254","13"
"2026-08-17T03:22:34.3973884Z","backend","15848","0.126","53.293","61.594","13"
"2026-08-17T03:22:34.3973884Z","k6","26204","0","32.352","59.254","13"
"2026-08-17T03:22:35.4268089Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:35.4268089Z","k6","26204","0","32.352","59.254","13"
"2026-08-17T03:22:36.4575641Z","backend","15848","0","53.293","61.594","13"
"2026-08-17T03:22:36.4575641Z","k6","26204","0","32.352","59.254","13"
"2026-08-17T03:22:37.4864036Z","backend","15848","0.127","53.297","61.594","13"
"2026-08-17T03:22:37.4864036Z","k6","26204","0.38","32.355","59.254","13"
"2026-08-17T03:22:38.5135473Z","backend","15848","0.127","53.457","61.598","13"
"2026-08-17T03:22:38.5135473Z","k6","26204","0","32.406","59.316","15"
"2026-08-17T03:22:39.5586635Z","backend","15848","0","53.457","61.598","13"
"2026-08-17T03:22:39.5586635Z","k6","26204","0","32.406","59.316","15"
"2026-08-17T03:22:40.5919592Z","backend","15848","0","53.457","61.598","13"
"2026-08-17T03:22:40.5919592Z","k6","26204","0","32.406","59.316","15"
"2026-08-17T03:22:41.6356240Z","backend","15848","0","53.457","61.598","13"
"2026-08-17T03:22:41.6356240Z","k6","26204","0","32.406","59.316","15"
"2026-08-17T03:22:42.6694059Z","backend","15848","0","53.457","61.598","13"
"2026-08-17T03:22:42.6694059Z","k6","26204","0","32.418","59.316","15"
"2026-08-17T03:22:43.6999720Z","backend","15848","0.379","53.75","61.598","13"
"2026-08-17T03:22:43.6999720Z","k6","26204","0","32.449","59.316","15"
"2026-08-17T03:22:44.7269106Z","backend","15848","0","53.75","61.598","13"
"2026-08-17T03:22:44.7269106Z","k6","26204","0","32.449","59.316","15"
"2026-08-17T03:22:45.7851715Z","backend","15848","0","53.75","61.598","13"
"2026-08-17T03:22:45.7851715Z","k6","26204","0","32.449","59.316","15"
"2026-08-17T03:22:46.8205846Z","backend","15848","0","53.75","61.598","13"
