"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:25:32.2481021Z","backend","15848","","53.973","61.598","12"
"2026-08-17T03:25:32.2481021Z","k6","15756","","12.09","49.293","7"
"2026-08-17T03:25:33.3005514Z","backend","15848","0.124","53.973","61.598","12"
"2026-08-17T03:25:33.3005514Z","k6","15756","0.619","30.762","58.176","14"
"2026-08-17T03:25:34.3359280Z","backend","15848","0.252","54.031","61.598","12"
"2026-08-17T03:25:34.3359280Z","k6","15756","0","31.113","58.379","14"
"2026-08-17T03:25:35.3571010Z","backend","15848","0","54.031","61.598","12"
"2026-08-17T03:25:35.3571010Z","k6","15756","0","31.387","58.676","14"
"2026-08-17T03:25:36.3836797Z","backend","15848","0","54.199","61.664","14"
"2026-08-17T03:25:36.3836797Z","k6","15756","0","31.652","58.988","14"
"2026-08-17T03:25:37.4087494Z","backend","15848","0","54.199","61.664","14"
"2026-08-17T03:25:37.4087494Z","k6","15756","0","31.805","59.316","14"
"2026-08-17T03:25:38.4372781Z","backend","15848","0.253","54.25","61.664","14"
"2026-08-17T03:25:38.4372781Z","k6","15756","0.38","32.07","59.559","14"
"2026-08-17T03:25:39.4654396Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:39.4654396Z","k6","15756","0.253","32.09","59.621","14"
"2026-08-17T03:25:40.5025806Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:40.5025806Z","k6","15756","0","32.207","59.676","14"
"2026-08-17T03:25:41.5340858Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:41.5340858Z","k6","15756","0","32.207","59.676","14"
"2026-08-17T03:25:42.5697174Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:42.5697174Z","k6","15756","0.251","32.395","59.691","14"
"2026-08-17T03:25:43.6002118Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:43.6002118Z","k6","15756","0","32.441","59.691","14"
"2026-08-17T03:25:44.6262111Z","backend","15848","0","54.25","61.664","14"
"2026-08-17T03:25:44.6262111Z","k6","15756","0","32.457","59.699","14"
"2026-08-17T03:25:45.6561094Z","backend","15848","0.379","54.25","61.664","14"
"2026-08-17T03:25:45.6561094Z","k6","15756","0","32.562","59.699","14"
"2026-08-17T03:25:46.6944044Z","backend","15848","0.376","54.254","61.664","14"
"2026-08-17T03:25:46.6944044Z","k6","15756","0","32.57","59.707","14"
"2026-08-17T03:25:47.7403066Z","backend","15848","0","54.254","61.664","14"
"2026-08-17T03:25:47.7403066Z","k6","15756","0.124","32.586","59.707","14"
"2026-08-17T03:25:48.7653181Z","backend","15848","0.127","54.254","61.664","14"
"2026-08-17T03:25:48.7653181Z","k6","15756","0.254","32.586","59.707","14"
"2026-08-17T03:25:49.7940688Z","backend","15848","0","54.254","61.664","14"
"2026-08-17T03:25:49.7940688Z","k6","15756","0","32.621","59.707","14"
"2026-08-17T03:25:50.8328495Z","backend","15848","0","54.254","61.664","14"
"2026-08-17T03:25:50.8328495Z","k6","15756","0","32.621","59.707","14"
"2026-08-17T03:25:51.8613966Z","backend","15848","0.127","54.469","61.664","14"
"2026-08-17T03:25:51.8613966Z","k6","15756","0.38","32.648","59.707","14"
"2026-08-17T03:25:52.8965176Z","backend","15848","0.377","54.473","61.664","14"
"2026-08-17T03:25:52.8965176Z","k6","15756","0","32.762","59.707","14"
"2026-08-17T03:25:53.9317050Z","backend","15848","0","54.473","61.664","14"
"2026-08-17T03:25:53.9317050Z","k6","15756","0","32.883","59.707","14"
"2026-08-17T03:25:54.9753318Z","backend","15848","0","54.473","61.664","14"
"2026-08-17T03:25:54.9753318Z","k6","15756","0.25","32.883","59.707","14"
"2026-08-17T03:25:55.9939360Z","backend","15848","0","54.473","61.664","14"
"2026-08-17T03:25:55.9939360Z","k6","15756","0","32.883","59.707","14"
"2026-08-17T03:25:57.0253198Z","backend","15848","0.126","54.273","61.91","14"
"2026-08-17T03:25:57.0253198Z","k6","15756","0.126","32.883","59.707","14"
