"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:30:37.1818062Z","backend","15848","","56.789","63.996","14"
"2026-08-17T03:30:37.1818062Z","k6","4156","","2.613","35.773","1"
"2026-08-17T03:30:38.2688316Z","backend","15848","0.24","56.797","63.996","14"
"2026-08-17T03:30:38.2688316Z","k6","4156","0.958","32.746","60.59","17"
"2026-08-17T03:30:39.3145447Z","backend","15848","0.623","57.047","64.395","14"
"2026-08-17T03:30:39.3145447Z","k6","4156","0","33.27","60.973","17"
"2026-08-17T03:30:40.3311074Z","backend","15848","0","57.047","64.395","14"
"2026-08-17T03:30:40.3311074Z","k6","4156","0.256","33.578","61.238","17"
"2026-08-17T03:30:41.3568282Z","backend","15848","0","57.047","64.395","14"
"2026-08-17T03:30:41.3568282Z","k6","4156","0.127","33.746","61.527","17"
"2026-08-17T03:30:42.3859268Z","backend","15848","0","57.047","64.395","14"
"2026-08-17T03:30:42.3859268Z","k6","4156","0.253","34.023","61.723","17"
"2026-08-17T03:30:43.4277024Z","backend","15848","0.5","57.23","64.406","14"
"2026-08-17T03:30:43.4277024Z","k6","4156","0.125","34.062","61.723","17"
"2026-08-17T03:30:44.4584297Z","backend","15848","0.253","57.23","64.406","14"
"2026-08-17T03:30:44.4584297Z","k6","4156","0","34.129","61.73","17"
"2026-08-17T03:30:45.5088251Z","backend","15848","0","57.23","64.406","14"
"2026-08-17T03:30:45.5088251Z","k6","4156","0.124","34.301","61.73","17"
"2026-08-17T03:30:46.5939466Z","backend","15848","0.12","57.02","63.883","14"
"2026-08-17T03:30:46.5939466Z","k6","4156","0.12","34.5","62.086","17"
"2026-08-17T03:30:47.6287028Z","backend","15848","0","57.02","63.883","14"
"2026-08-17T03:30:47.6287028Z","k6","4156","0.126","34.5","62.086","17"
"2026-08-17T03:30:48.6529813Z","backend","15848","0","57.02","63.883","14"
"2026-08-17T03:30:48.6529813Z","k6","4156","0.127","34.512","62.086","17"
"2026-08-17T03:30:49.6930113Z","backend","15848","0","57.02","63.883","14"
"2026-08-17T03:30:49.6930113Z","k6","4156","0","34.516","62.086","17"
"2026-08-17T03:30:50.7225946Z","backend","15848","0.506","57.02","63.883","14"
"2026-08-17T03:30:50.7225946Z","k6","4156","0.126","34.523","62.086","17"
"2026-08-17T03:30:51.7530338Z","backend","15848","0.379","57.02","63.883","14"
