"run","vus","endpoint_metric","avg_ms","p90_ms","p95_ms","p99_ms","max_ms"
"baseline-1vu-think-10i","1","latency_register_ms","18.272","23.208","30.077","35.572","36.946"
"baseline-1vu-think-10i","1","latency_login_ms","6.635","8.029","8.081","8.122","8.133"
"baseline-1vu-think-10i","1","latency_read_profile_ms","6.235","8.437","9.378","10.131","10.319"
"baseline-1vu-think-10i","1","latency_update_profile_ms","20.687","23.951","26.201","28.001","28.451"
"baseline-1vu-think-10i","1","latency_read_categories_ms","2.782","4.498","4.528","4.553","4.559"
"baseline-1vu-think-10i","1","latency_read_products_ms","3.707","4.557","4.565","4.571","4.573"
"baseline-1vu-think-10i","1","latency_read_product_detail_ms","3.317","5.164","5.343","5.486","5.522"
"baseline-1vu-think-10i","1","latency_add_to_cart_ms","5.566","6.315","6.324","6.331","6.333"
"baseline-1vu-think-10i","1","latency_checkout_ms","20.805","23.692","30.753","36.401","37.813"
"explore-2vu-think-4i","2","latency_register_ms","21.37","30.904","31.551","32.068","32.198"
"explore-2vu-think-4i","2","latency_login_ms","7.189","8.892","9.068","9.209","9.245"
"explore-2vu-think-4i","2","latency_read_profile_ms","5.43","8.389","8.761","9.058","9.132"
"explore-2vu-think-4i","2","latency_update_profile_ms","20.922","24.236","25.414","26.357","26.593"
"explore-2vu-think-4i","2","latency_read_categories_ms","4.03","5.137","5.314","5.455","5.49"
"explore-2vu-think-4i","2","latency_read_products_ms","3.574","4.603","5.374","5.99","6.144"
"explore-2vu-think-4i","2","latency_read_product_detail_ms","3.586","5.238","5.809","6.265","6.38"
"explore-2vu-think-4i","2","latency_add_to_cart_ms","4.632","5.649","5.79","5.904","5.932"
"explore-2vu-think-4i","2","latency_checkout_ms","24.89","29.732","32.559","34.821","35.386"
"explore-4vu-think-4i","4","latency_register_ms","29.029","48.421","51.68","51.711","51.719"
"explore-4vu-think-4i","4","latency_login_ms","8.359","12.874","17.141","24.766","26.672"
"explore-4vu-think-4i","4","latency_read_profile_ms","8.553","9.603","19.36","42.552","48.35"
"explore-4vu-think-4i","4","latency_update_profile_ms","23.796","39.864","43.557","45.001","45.362"
"explore-4vu-think-4i","4","latency_read_categories_ms","4.287","5.934","8.998","13.924","15.155"
"explore-4vu-think-4i","4","latency_read_products_ms","3.165","4.891","5.21","5.761","5.898"
"explore-4vu-think-4i","4","latency_read_product_detail_ms","3.134","4.188","4.536","4.883","4.97"
"explore-4vu-think-4i","4","latency_add_to_cart_ms","5.699","7.438","7.872","8.792","9.022"
"explore-4vu-think-4i","4","latency_checkout_ms","29.144","44.032","51.754","67.55","71.499"
"explore-8vu-think-4i","8","latency_register_ms","39.313","119.438","123.832","124.664","124.912"
"explore-8vu-think-4i","8","latency_login_ms","7.413","9.021","9.945","11.759","12.532"
"explore-8vu-think-4i","8","latency_read_profile_ms","7.805","13.291","22.484","25.029","25.894"
"explore-8vu-think-4i","8","latency_update_profile_ms","18.975","23.132","23.675","27.173","28.549"
"explore-8vu-think-4i","8","latency_read_categories_ms","3.557","5.48","7.076","9.282","9.555"
"explore-8vu-think-4i","8","latency_read_products_ms","3.672","5.438","9.192","15.592","16.418"
"explore-8vu-think-4i","8","latency_read_product_detail_ms","3.406","4.907","5.038","5.462","5.618"
"explore-8vu-think-4i","8","latency_add_to_cart_ms","4.662","6.934","7.457","7.795","7.86"
"explore-8vu-think-4i","8","latency_checkout_ms","21.121","27.882","28.583","31.612","32.9"
