"timestamp_utc","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T03:27:36.1158781Z","backend","15848","","56.395","63.457","12"
"2026-08-17T03:27:36.1158781Z","k6","22932","","10.309","48.906","7"
"2026-08-17T03:27:37.2097097Z","backend","15848","0.833","56.398","63.457","12"
"2026-08-17T03:27:37.2097097Z","k6","22932","1.786","34.426","62.965","18"
"2026-08-17T03:27:38.2463321Z","backend","15848","0.754","56.402","63.461","12"
"2026-08-17T03:27:38.2463321Z","k6","22932","0.126","34.965","63.449","18"
"2026-08-17T03:27:39.2663481Z","backend","15848","0.128","56.406","63.461","12"
"2026-08-17T03:27:39.2663481Z","k6","22932","0","35.41","63.926","18"
"2026-08-17T03:27:40.2935549Z","backend","15848","0","56.406","63.461","12"
"2026-08-17T03:27:40.2935549Z","k6","22932","0","35.449","63.926","18"
"2026-08-17T03:27:41.3320828Z","backend","15848","0.627","56.582","63.918","12"
"2026-08-17T03:27:41.3320828Z","k6","22932","0.125","35.691","64.129","18"
"2026-08-17T03:27:42.3711339Z","backend","15848","0.752","56.93","64.387","12"
"2026-08-17T03:27:42.3711339Z","k6","22932","0.251","35.934","64.316","18"
"2026-08-17T03:27:43.4064864Z","backend","15848","0","56.613","63.855","12"
"2026-08-17T03:27:43.4064864Z","k6","22932","0.252","35.984","64.363","18"
"2026-08-17T03:27:44.4537629Z","backend","15848","0.124","56.617","63.859","12"
"2026-08-17T03:27:44.4537629Z","k6","22932","0.497","36.273","64.582","18"
"2026-08-17T03:27:45.5386905Z","backend","15848","0.12","56.617","63.859","12"
"2026-08-17T03:27:45.5386905Z","k6","22932","0.24","36.336","64.613","18"
"2026-08-17T03:27:46.5660635Z","backend","15848","0","56.617","63.859","12"
"2026-08-17T03:27:46.5660635Z","k6","22932","0","36.348","64.613","18"
"2026-08-17T03:27:47.5896012Z","backend","15848","0.382","56.617","63.859","12"
"2026-08-17T03:27:47.5896012Z","k6","22932","0","36.352","64.613","18"
"2026-08-17T03:27:48.6275395Z","backend","15848","0.251","56.617","63.859","12"
"2026-08-17T03:27:48.6275395Z","k6","22932","0.251","36.375","64.621","18"
"2026-08-17T03:27:49.6848947Z","backend","15848","0.862","56.621","63.863","12"
"2026-08-17T03:27:49.6848947Z","k6","22932","0.123","36.473","64.621","18"
"2026-08-17T03:27:50.7501302Z","backend","15848","0.733","56.625","63.867","12"
"2026-08-17T03:27:50.7501302Z","k6","22932","0.122","36.477","64.621","18"
"2026-08-17T03:27:51.7871493Z","backend","15848","0.502","56.66","63.984","12"
