**********************
Windows PowerShell transcript start
Start time: 20260817211956
Username: DESKTOP-KE0DR9U\Duy
RunAs User: DESKTOP-KE0DR9U\Duy
Configuration Name: 
Machine: DESKTOP-KE0DR9U (Microsoft Windows NT 10.0.26200.0)
Host Application: powershell.exe -NoProfile -NoExit -ExecutionPolicy Bypass -File .\work\launch_official_spike_runner_console.ps1
Process ID: 10568
PSVersion: 5.1.26100.9168
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.9168
BuildVersion: 10.0.26100.9168
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
OFFICIAL SPIKE K6_RUN_ID=20260817t134816776
OFFICIAL COMMAND=& "C:\Users\Duy\Desktop\automation-testing-hw04\work\calibration-tools\k6-v2.1.0-windows-amd64\k6.exe" run --no-color -e BASE_URL=http://localhost:3000 -e K6_RUN_ID=20260817t134816776 --summary-export C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\summary.json --out json=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\raw-results.ndjson --out csv=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\23127179_Spike_20260817.js
NATIVE K6 CSV REPORT=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=unavailable RUN_ID=20260817t134816776 ELAPSED=11.2
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=13.5
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=14.9
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=16.2
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=17.6
SPIKE_PHASE=warmup_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=18.9
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=20.2
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=21.5
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=22.8
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=24.1
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=25.4
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=26.6
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=27.9
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=29.2
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=30.5
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=31.8
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=33.1
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=34.4
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=35.7
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=37.0
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=38.3
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=39.6
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=40.9
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=42.2
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=43.5
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=44.8
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=46.1
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=47.4
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=48.7
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=50.0
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=51.3
SPIKE_PHASE=pre_spike_steady_4 TARGET_VUS=4 ACTUAL_VUS=4 RUN_ID=20260817t134816776 ELAPSED=52.6
